category,area_ha,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,ecosystem,province,canton,estimated_trees,log_area_ha,width_deg,height_deg,aspect_ratio_deg,rect_area_deg,center_x_utm,center_y_utm,min_x_utm,min_y_utm,max_x_utm,max_y_utm,width_utm,height_utm,aspect_ratio_utm,rect_area_utm,dist_to_ref_center,num_ecosystems,cluster,is_sensitive_ecosystem,operational_mission
MUNICIPAL,26780.43,-80.03658820853609,-3.415049651881976,-80.30151764650539,-3.619779947739512,-79.77165877056679,-3.210319356024439,"Manglar Jama Zapotillo, Bosque siempreverde estacional piemontano de Catamayo Alamor",EL ORO,SANTA ROSA,10712172,10.195426675875067,0.5298588759386007,0.4094605917150731,1.2940411980190432,0.2169563288673029,607019.5530944909,9622476.31831913,577571.4927342612,9599870.361177184,636481.0186177772,9645077.58868558,58909.52588351595,45207.22750839777,1.30309972830277,2663136339.0279527,178026.2440106382,2,1,True,Medium Area - Standard Mission
MUNICIPAL,13780.47,-78.39478479659061,-2.757254521921176,-78.50839376923255,-2.8842218288623487,-78.28117582394866,-2.6302872149800027,"Bosque siempreverde montano bajo del Sur de la Coordillera Oriental de los Andes, Bosque siempreverde montano del sur de la Coordillera Oriental de los Andes, Bosque siempreverde piemontano del Sur de la Coordillera Oriental de los Andes",MORONA SANTIAGO,SANTIAGO,5512188,9.53100765138811,0.2272179452838969,0.2539346138823459,0.8947891778723136,0.0576985012028063,789661.8943925739,9694921.214928092,776991.9878021481,9680900.92865057,802334.2200883836,9708942.80692145,25342.23228623555,28041.87827088125,0.9037280613456652,710643792.883014,165614.22835877177,3,1,False,Medium Area - Standard Mission
MUNICIPAL,25496.03,-79.49782476003298,-3.5138629553397047,-79.62949796666763,-3.690840322064737,-79.36615155339832,-3.3368855886146727,"Bosque siempreverde montano del Catamayo Alamor,Bosque siempreverde montanp alto Catamayo Alamor",EL ORO,ZARUMA,10198412,10.14627803275168,0.2633464132693035,0.3539547334500641,0.7440115575186814,0.0932127095137667,666861.442826159,9611473.591668168,652202.8631139267,9591928.390798869,681524.8415184318,9631019.016665488,29321.978404505066,39090.62586661987,0.750102556673129,1146214487.4796147,182288.39288339645,2,1,False,Medium Area - Standard Mission
MUNICIPAL,68060.52,-77.51636247415951,-0.2440462800250469,-77.77566520011726,-0.4686547563768723,-77.25705974820175,-0.0194378036732216,"Bosque siempreverde montano bajo del norte de la coordillera oriental de los Andes,Bosque siempreverde de tierras bajas de Napo Curaray,Bosque siempreverde piemontano del norte de la Coordillera oriental de los Andes",NAPO,EL CHACO,27224208,11.128152588343092,0.518605451915505,0.4492169527036507,1.1544654484648635,0.2329663607649828,219903.71884555745,9972999.340452172,191026.54466811905,9948138.304587176,248780.3533185036,9997849.859318413,57753.80865038454,49711.55473123677,1.161778362447658,2871031619.660967,472122.20440494205,3,-1,False,Outlier / Not Recommended
MUNICIPAL,13981.05,-77.99394853675705,-0.4889564397075041,-78.24763431276698,-0.6048910330602163,-77.74026276074711,-0.3730218463547919,"Bosque siempreverde montano del norte de la coordillera oriental de los Andes, Haerbazal de paramo, Bosque siempreverde montano alto del norte de la Coordillera oriental de los Andes",NAPO,QUIJOS,5592420,9.545458120263598,0.5073715520198618,0.2318691867054244,2.1881801417463294,0.1176438291243142,166707.82570270103,9945881.245400175,806371.0594871992,9933063.608839782,194966.69695183012,9958722.355405431,-611404.362535369,25658.74656564929,-23.828302016664537,-15687869587.427391,513014.8898174928,3,-1,True,Outlier / Not Recommended
PROVINCIAL,4459.96,-78.2752227412472,0.8365791727838242,-78.31738171152594,0.8041382422018012,-78.23306377096849,0.8690201033658472,"Bosque siempreverde montano bajo,montano y piemontano de la Coordilleraa Occidental de los Andes",CARCHI,"MIRA,TULCAN",1783984,8.402895076364251,0.0843179405574545,0.064881861164046,1.2995610444143344,0.005470704912887,803282.4468877193,10092572.55285696,798588.8533232309,10088979.651289554,807976.0317332943,10096165.758579468,9387.17841006338,7186.107289914042,1.3062953322777848,67457271.20428017,333150.65820622945,2,-1,False,Outlier / Not Recommended
MUNICIPAL,9909.24,-78.55885108845038,-0.2212495350533271,-78.6173200056639,-0.3560249926305276,-78.50038217123685,-0.0864740774761265,"Herbazal de paramo, Arbustal siempreverde montano del norte de los Andes, Herbazal humedo subnival del paramo,Arbustal siempreverde, Bosque siempreverde del paramo",PICHINCHA,DISTRITO METROPOLITANO DE QUITO,3963696,9.201222934171383,0.1169378344270484,0.2695509151544011,0.4338246595313569,0.0315207002859847,771719.5152516778,9975522.914913338,765204.5036203689,9960614.256138822,778233.4347849832,9990432.85176884,13028.931164614274,29818.59563001804,0.436939798449051,388504429.88897306,215417.48932736705,5,-1,True,Outlier / Not Recommended
MUNICIPAL,84416.38,-78.75934401242338,-3.33447208286484,-78.9541963605137,-3.564575096422738,-78.56449166433306,-3.1043690693069403,"Bosque siempreverde montano del Sur de la Coordillera Oriental de los Andes, Herbazal de Paramo, Bosque siempreverde montano bajo del Sur de la Coordillera Oriental de los Andes",MORONA SANTIAGO,GUALAQUIZA,33766552,11.343516737583167,0.3897046961806438,0.4602060271157975,0.8468048490720463,0.179344449977663,748973.0819309979,9631153.200124923,727257.4934671633,9605749.91634154,770697.6604132698,9656558.858269889,43440.16694610648,50808.94192834757,0.8549709027077628,2207148919.7224474,186780.929956828,3,-1,True,Outlier / Not Recommended
PROVINCIAL,2542827.72,-76.89453116155144,-1.808293607810323,-78.17870136817831,-2.6145082714464314,-75.61036095492457,-1.002078944174214,"Bosque siempreverde de tierras bajas del Tigre Pastaza, Bosque siempreverde piemontano del Norte de la coordillera oriental de los Andes, Bosque siempreverde de tierras bajas de Napo Curaray",PASTAZA,"PASTAZA, MERA,SANTA CLARA, ARAJUNO",1017131088,14.748787295353544,2.568340413253736,1.6124293272722174,1.5928390585687346,4.1412674047487705,289251.8085625948,9800018.579411894,813742.425997146,9710663.690273082,432091.1327960815,9889233.728682024,-381651.2932010646,178570.03840894252,-2.1372638803327373,-68151486085.73669,367366.6986902436,3,-1,False,Outlier / Not Recommended
MUNICIPAL,41456.85,-78.56501662067235,0.142571225709015,-78.6817468759882,0.0077907121030289,-78.44828636535651,0.277351739315001,"Bosque siempreverde montano de coordillera occidental de los Andes, Bosque siempreverde montano bajo de coordillera occidental de los Andes,Bosque siempreverde piemontano de coordillera occidenral de los Andes",PICHINCHA,DISTRITO METROPOLITANO DE QUITO,16582740,10.632408406258255,0.2334605106316871,0.2695610272119721,0.8660766438689462,0.0629318550593091,771034.0003708125,10015772.742037548,758034.4175008283,10000861.81787048,784033.0738455576,10030686.334818237,25998.65634472936,29824.516947757453,0.8717209532771113,775397366.7723026,250044.93190288704,3,0,False,Large Area - Multiple Missions or Multi-Robot
MUNICIPAL,14338.01,-78.72729063521038,-2.65920617417965,-78.87910296097402,-2.7994152061799324,-78.57547830944672,-2.5189971421793675,"Arbustal siempreverde montano,Herbazal de paramo y Bosque siempreverde montano alto del Sur de la Coordillera Oriental de los Andes",CANAR,AZOGUES,5735204,9.570669331859987,0.3036246515273006,0.2804180640005649,1.0827571024238007,0.0851418369641318,752691.5755487442,9705843.090406029,735776.9396841566,9690364.83502899,769610.3122390138,9721322.503152084,33833.372554857284,30957.668123094365,1.092891506567207,1047402319.0382812,130076.31002911452,2,1,True,Medium Area - Standard Mission
MUNICIPAL,15681.03,-78.15957355061353,-2.1988577312085864,-78.25096529960659,-2.326335287983213,-78.06818180162047,-2.07138017443396,"Bosque siempreverde montano bajo del Sur de la Coordillera Oriental de los Andes, Bosque siempreverde montano del Sur de la Coordillera Oriental de los Andes",MORONA SANTIAGO,MORONA,6272412,9.66020698052256,0.1827834979861222,0.2549551135492529,0.7169242253063789,0.0466015874839814,815967.1162340982,9756658.270883769,805766.0509818844,9742570.71409398,826169.1688984507,9770747.425121829,20403.11791656632,28176.711027847603,0.7241128283709475,574892757.6021892,163602.3691603493,2,1,False,Medium Area - Standard Mission
MUNICIPAL,33741.31,-79.2692066935179,-3.4309493820868737,-79.39166397820702,-3.563729988042992,-79.14674940882877,-3.298168776130756,"Arbustal semideciduo del sur de los Valles,Arbustal desertico del sur de los Valles, Arbustal siempreverde montano del sur de los Andes",LOJA,SARAGURO,13496524,10.426478181665177,0.2449145693782526,0.2655612119122357,0.9222527894508205,0.0650398098590521,692280.301329905,9620598.614161516,678647.2062253692,9605939.77649924,705917.0115776244,9635257.56663828,27269.80535225512,29317.79013903998,0.9301453221039786,799490430.4498848,176523.88440945686,3,1,False,Medium Area - Standard Mission
MUNICIPAL,16439.91,-78.7594963778139,-2.917590133632143,-78.88731405988595,-3.0287394420953726,-78.63167869574185,-2.806440825168913,"Herbazal de paramo,Bosque siempreverde montano del sur y Arbustal siempreverde",AZUAY,GUALACEO,6575964,9.707467194142692,0.2556353641440978,0.2222986169264595,1.1499638033227295,0.0568273878867248,749054.5310100988,9677267.877248095,734816.1377413891,9665001.338808844,763296.0357056577,9689534.925432986,28479.897964268574,24533.586624141783,1.160853421091001,698714043.7531023,148520.379339273,2,1,True,Medium Area - Standard Mission
MUNICIPAL,174.39,-79.56225083209863,-4.352621678382947,-79.56804467337784,-4.362567614196039,-79.55645699081941,-4.342675742569856,"Bosque siempreverde montano de Catamayo Alamor, Bosque semideciduo montano bajo de Catamayo Alamor",LOJA,CALVAS,69756,5.161294170387103,0.011587682558428,0.0198918716261831,0.5825335188993456,0.0002305006938972,659543.802287647,9518743.296083111,658898.6504298057,9517644.788325928,660188.9678929513,9519841.80418213,1290.317463145591,2197.015856202692,0.5873045747494879,2834847.9260660964,274743.5890062831,2,-1,False,Outlier / Not Recommended
MUNICIPAL,177.33,-79.54569859407074,-4.349334982498901,-79.5528779991485,-4.357901196292583,-79.53851918899298,-4.340768768705218,"Bosque siempreverde montano del Catamayo Alamor,Bosque semideciduo montano bajo del Catamayo Alamor",LOJA,CALVAS,70932,5.178012403510027,0.014358810155528,0.0171324275873647,0.8381071067833176,0.0002460012752303,661381.6573914753,9519103.192537723,660582.9840495624,9518157.543555684,662180.3476958483,9520048.839733578,1597.3636462859577,1891.296177893877,0.8445867257363765,3021087.7589272587,274409.8525182673,2,-1,False,Outlier / Not Recommended
